shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,40.69461587,-73.76821945,365
1,40.69417139,-73.76779619,366
1,40.69372734,-73.76737217,367
1,40.69328164,-73.76695114,368
1,40.69283036,-73.76654078,369
1,40.69236227,-73.76616479,370
1,40.69187533,-73.76583256,371
1,40.69136528,-73.76554295,372
1,40.69085372,-73.7652814,373
1,40.69033976,-73.76502816,374
1,40.68981916,-73.7647998,375
1,40.68929998,-73.76456579,376
1,40.68878635,-73.76431135,377
1,40.68827402,-73.76405234,378
1,40.6877615,-73.76379403,379
1,40.68724901,-73.76353555,380
1,40.68673839,-73.76327093,381
1,40.68623272,-73.76299047,382
1,40.68573584,-73.76268412,383
1,40.6852473,-73.76235549,384
1,40.68476534,-73.76201031,385
1,40.68428315,-73.76166564,386
1,40.68380153,-73.76131962,387
1,40.68332036,-73.76097249,388
1,40.68283918,-73.7606254,389
1,40.68235805,-73.76027821,390
1,40.68187653,-73.75993192,391
1,40.68139513,-73.75958538,392
1,40.68091396,-73.75923826,393
1,40.68043261,-73.75889159,394
1,40.67995106,-73.75854542,395
1,40.67946953,-73.75819918,396
1,40.67898831,-73.75785221,397
1,40.6785069,-73.75750568,398
1,40.6780256,-73.75715892,399
1,40.67754447,-73.75681173,400
1,40.67706321,-73.75646485,401
1,40.67658184,-73.75611825,402
1,40.67610043,-73.75577175,403
1,40.675619,-73.7554253,404
1,40.67513783,-73.75507822,405
1,40.67465658,-73.75473135,406
1,40.67417506,-73.75438512,407
1,40.67369357,-73.75403882,408
1,40.67321227,-73.75369205,409
1,40.67273116,-73.75334486,410
1,40.67225032,-73.75299701,411
1,40.67176915,-73.75264995,412
1,40.67128756,-73.75230391,413
1,40.67080598,-73.75195784,414
1,40.67032443,-73.75161168,415
1,40.66984315,-73.7512649,416
1,40.66936392,-73.75091331,417
1,40.668898,-73.75053296,418
1,40.66846603,-73.75008949,419
1,40.66807469,-73.74958498,420
1,40.66771953,-73.74903571,421
1,40.66739449,-73.74845521,422
1,40.66710197,-73.74784561,423
1,40.66684227,-73.74721083,424
1,40.66661639,-73.74655412,425
1,40.66642337,-73.7458796,426
1,40.66626982,-73.74518782,427
1,40.66614969,-73.74448461,428
1,40.66606675,-73.74377236,429
1,40.66602236,-73.74305408,430
1,40.66600904,-73.74233353,431
1,40.66600921,-73.74161265,432
1,40.66601007,-73.74089176,433
1,40.66601055,-73.74017084,434
1,40.66601143,-73.73944993,435
1,40.66601192,-73.73872901,436
1,40.6660134,-73.7380081,437
1,40.66601484,-73.73728718,438
1,40.66601622,-73.73656626,439
1,40.66601789,-73.73584534,440
1,40.66601976,-73.73512443,441
1,40.6660206,-73.73440351,442
1,40.66602142,-73.73368258,443
1,40.66602224,-73.73296166,444
1,40.66602303,-73.73224074,445
1,40.66602382,-73.73151982,446
