"Indicator.Name","Period.Month","Period.Year","YTD.Target","YTD.Actual","Monthly.Target","Monthly.Actual","Period","Month_Name"
"Babylon",4,2011,95.1,93.7,95.1,96.4,"2011-04","April"
"Babylon",3,2011,95.1,92.7,95.1,95.1,"2011-03","March"
"Babylon",2,2011,95.1,91.4,95.1,95,"2011-02","February"
"Babylon",1,2011,95.1,88.2,95.1,88.2,"2011-01","January"
"Babylon",12,2010,95.1,91.7,95.1,91.4,"2010-12","December"
"Babylon",11,2010,95.1,91.6,95.1,93.4,"2010-11","November"
"Babylon",10,2010,95.1,91.4,95.1,92.3,"2010-10","October"
"Babylon",9,2010,95.1,91.3,95.1,92,"2010-09","September"
"Babylon",8,2010,95.1,91.3,95.1,84.1,"2010-08","August"
"Babylon",7,2010,95.1,92.3,95.1,90.7,"2010-07","July"
"Babylon",6,2010,95.1,92.6,95.1,91.6,"2010-06","June"
"Babylon",5,2010,95.1,92.8,95.1,92.3,"2010-05","May"
"Babylon",4,2010,95.1,92.9,95.1,90.6,"2010-04","April"
"Babylon",3,2010,95.1,93.7,95.1,91.7,"2010-03","March"
"Babylon",2,2010,95.1,94.8,95.1,93.4,"2010-02","February"
"Babylon",1,2010,95.1,96.1,95.1,96.1,"2010-01","January"
"Babylon",12,2009,0,94.8,0,91.4,"2009-12","December"
"Babylon",11,2009,0,95.1,0,94.5,"2009-11","November"
"Babylon",10,2009,0,95.2,0,95,"2009-10","October"
"Babylon",9,2009,0,95.2,0,95.6,"2009-09","September"
"Babylon",8,2009,0,95.2,0,95.7,"2009-08","August"
"Babylon",7,2009,0,95.1,0,94.4,"2009-07","July"
"Babylon",6,2009,0,95.2,0,95,"2009-06","June"
"Babylon",5,2009,0,95.3,0,96.7,"2009-05","May"
"Babylon",4,2009,0,94.9,0,96,"2009-04","April"
"Babylon",3,2009,0,94.6,0,92.9,"2009-03","March"
"Babylon",2,2009,0,95.4,0,95.1,"2009-02","February"
"Babylon",1,2009,0,95.8,0,95.8,"2009-01","January"
"Babylon",12,2008,0,95.3,0,95.4,"2008-12","December"
"Babylon",11,2008,0,95.2,0,91.8,"2008-11","November"
"Babylon",10,2008,0,95.6,0,95,"2008-10","October"
"Babylon",9,2008,0,95.6,0,95,"2008-09","September"
"Babylon",8,2008,0,95.7,0,95.3,"2008-08","August"
"Babylon",7,2008,0,95.8,0,94.2,"2008-07","July"
"Babylon",6,2008,0,96.1,0,95.9,"2008-06","June"
"Babylon",5,2008,0,96.1,0,95.8,"2008-05","May"
"Babylon",4,2008,0,96.2,0,97.2,"2008-04","April"
"Babylon",3,2008,0,95.8,0,95,"2008-03","March"
"Babylon",2,2008,0,96.2,0,95.4,"2008-02","February"
"Babylon",1,2008,0,97,0,97,"2008-01","January"
"Far Rockaway",11,2018,96.6,94.6,96.6,91.2,"2018-11","November"
"Far Rockaway",10,2018,96.6,94.9,96.6,95.8,"2018-10","October"
"Far Rockaway",9,2018,96.6,94.8,96.6,96.6,"2018-09","September"
"Far Rockaway",8,2018,96.6,94.6,96.6,95.2,"2018-08","August"
"Far Rockaway",7,2018,96.6,94.5,96.6,95.2,"2018-07","July"
"Far Rockaway",6,2018,96.6,94.4,96.6,96.9,"2018-06","June"
"Far Rockaway",5,2018,96.6,93.9,96.6,94.3,"2018-05","May"
"Far Rockaway",4,2018,96.6,93.8,96.6,97,"2018-04","April"
"Far Rockaway",3,2018,96.6,92.8,96.6,93.8,"2018-03","March"
"Far Rockaway",2,2018,96.6,92.2,96.6,96.3,"2018-02","February"
"Far Rockaway",1,2018,96.6,88.5,96.6,88.5,"2018-01","January"
"Far Rockaway",12,2017,96.6,95.6,96.6,96.3,"2017-12","December"
"Far Rockaway",11,2017,96.6,95.6,96.6,96,"2017-11","November"
"Far Rockaway",10,2017,96.6,95.5,96.6,96.8,"2017-10","October"
"Far Rockaway",9,2017,96.6,95.4,96.6,97,"2017-09","September"
"Far Rockaway",8,2017,96.6,95.2,96.6,97.3,"2017-08","August"
"Far Rockaway",7,2017,96.6,94.9,96.6,96,"2017-07","July"
"Far Rockaway",6,2017,96.6,94.7,96.6,95.2,"2017-06","June"
"Far Rockaway",5,2017,96.6,94.6,96.6,94.9,"2017-05","May"
"Far Rockaway",4,2017,96.6,94.5,96.6,94.5,"2017-04","April"
"Far Rockaway",3,2017,96.6,94.5,96.6,95.8,"2017-03","March"
"Far Rockaway",2,2017,96.6,93.8,96.6,92.8,"2017-02","February"
"Far Rockaway",1,2017,96.6,94.7,96.6,94.7,"2017-01","January"
"Far Rockaway",12,2016,96.6,96.5,96.6,95.5,"2016-12","December"
"Far Rockaway",11,2016,96.6,96.6,96.6,96.3,"2016-11","November"
"Far Rockaway",10,2016,96.6,96.6,96.6,96,"2016-10","October"
"Far Rockaway",9,2016,96.6,96.7,96.6,97.8,"2016-09","September"
"Far Rockaway",8,2016,96.6,96.5,96.6,95.5,"2016-08","August"
"Far Rockaway",7,2016,96.6,96.7,96.6,94.2,"2016-07","July"
"Far Rockaway",6,2016,96.6,97.1,96.6,97.7,"2016-06","June"
"Far Rockaway",5,2016,96.6,97,96.6,97.4,"2016-05","May"
"Far Rockaway",4,2016,96.6,96.8,96.6,97.8,"2016-04","April"
"Far Rockaway",3,2016,96.6,96.5,96.6,97.6,"2016-03","March"
"Far Rockaway",2,2016,96.6,95.9,96.6,96.1,"2016-02","February"
"Far Rockaway",1,2016,96.6,95.8,96.6,95.8,"2016-01","January"
"Far Rockaway",12,2015,96.6,95.5,96.6,97.5,"2015-12","December"
"Far Rockaway",11,2015,96.6,95.4,96.6,95.4,"2015-11","November"
"Far Rockaway",10,2015,96.6,94.79,96.6,94.01,"2015-10","October"
"Far Rockaway",9,2015,96.6,95.4,96.6,95.4,"2015-09","September"
"Far Rockaway",8,2015,96.6,95.4,96.6,96.5,"2015-08","August"
"Far Rockaway",7,2015,96.6,95.2,96.6,95.6,"2015-07","July"
"Far Rockaway",6,2015,96.6,95.1,96.6,94.9,"2015-06","June"
"Far Rockaway",5,2015,96.6,95.2,96.6,95.7,"2015-05","May"
"Far Rockaway",4,2015,96.6,95.1,96.6,98,"2015-04","April"
"Far Rockaway",3,2015,96.6,94.06,96.6,95.08,"2015-03","March"
"Far Rockaway",2,2015,96.6,93.5,96.6,92.83,"2015-02","February"
"Far Rockaway",1,2015,96.6,94.1,96.6,94.1,"2015-01","January"
"Far Rockaway",12,2014,95.1,95.6,95.1,94.4,"2014-12","December"
"Far Rockaway",11,2014,95.1,95.8,95.1,96.3,"2014-11","November"
"Far Rockaway",10,2014,95.1,95.7,95.1,96.1,"2014-10","October"
"Far Rockaway",9,2014,95.1,95.7,95.1,95.1,"2014-09","September"
"Far Rockaway",8,2014,95.1,95.7,95.1,95.6,"2014-08","August"
"Far Rockaway",7,2014,95.1,95.8,95.1,97.3,"2014-07","July"
"Far Rockaway",6,2014,95.1,95.5,95.1,96,"2014-06","June"
"Far Rockaway",5,2014,95.1,95.4,95.1,95.7,"2014-05","May"
"Far Rockaway",4,2014,95.1,95.3,95.1,96.1,"2014-04","April"
